exchange,symbol,open,close,high,low,amount,volume,position,bob,eob,type,sequence
SHFE,ad2512,20315.0,20315.0,20315.0,20315.0,203150.0,1.0,10369.0,2025-09-20 00:01:00+08:00,2025-09-20 00:02:00+08:00,14,1
SHFE,ad2512,20315.0,20315.0,20315.0,20315.0,203150.0,1.0,10370.0,2025-09-20 00:05:00+08:00,2025-09-20 00:06:00+08:00,14,1
SHFE,ad2512,20315.0,20320.0,20320.0,20315.0,1828700.0,9.0,10373.0,2025-09-20 00:25:00+08:00,2025-09-20 00:26:00+08:00,14,2
SHFE,ad2512,20320.0,20320.0,20320.0,20320.0,406400.0,2.0,10372.0,2025-09-20 00:32:00+08:00,2025-09-20 00:33:00+08:00,14,1
SHFE,ad2512,20320.0,20320.0,20320.0,20320.0,812800.0,4.0,10374.0,2025-09-20 00:39:00+08:00,2025-09-20 00:40:00+08:00,14,1
SHFE,ad2512,20320.0,20320.0,20320.0,20320.0,1219200.0,6.0,10376.0,2025-09-20 00:40:00+08:00,2025-09-20 00:41:00+08:00,14,1
SHFE,ad2512,20310.0,20310.0,20310.0,20310.0,812400.0,4.0,10377.0,2025-09-20 00:55:00+08:00,2025-09-20 00:56:00+08:00,14,1
SHFE,ad2512,20310.0,20305.0,20310.0,20300.0,3654850.0,18.0,10384.0,2025-09-20 00:58:00+08:00,2025-09-20 00:59:00+08:00,14,1
SHFE,ad2512,20300.0,20310.0,20310.0,20300.0,4872500.0,24.0,10378.0,2025-09-20 00:59:00+08:00,2025-09-20 01:00:00+08:00,14,2
